Intake,Sum,counter,quotation
2146,41,6,6
1466,89,11,8
2142,86,8,10
1951,126,12,10
2082,83,7,11
2073,129,11,11
2145,76,6,12
2068,121,9,13
2127,139,10,13
2071,116,8,14
2083,127,9,14
1877,144,10,14
1969,146,10,14
2054,146,10,14
1467,179,12,14
1620,206,14,14
2137,95,6,15
1682,167,11,15
1923,167,11,15
2115,83,5,16
1909,145,9,16
1722,194,12,16
1683,201,12,16
1947,122,7,17
2129,123,7,17
1868,196,11,17
1470,207,12,17
2070,149,8,18
2130,149,8,18
1880,162,9,18
1827,201,11,18
1959,205,11,18
2052,155,8,19
1822,174,9,19
2117,178,9,19
1955,194,10,19
1476,204,10,20
2140,149,7,21
1954,191,9,21
2053,156,7,22
1801,227,10,22
2141,140,6,23
2079,141,6,23
2143,98,4,24
2126,115,4,28
2005,180,6,30
